Comment,Designator,Footprint,LCSC Part #
1uF,C1,C_0603_1608Metric,C15849
100nF,"C10,C11,C12,C13,C14,C2,C3,C4,C5,C6,C7,C8,C9",C_0603_1608Metric,C14663
10uF,"C15,C16",C_0805_2012Metric,C15850
DIN41524_7pin_270deg_Female,J_CAS,,TBD
Conn_02x10,"J_PRN,J_ULX_B",PinHeader_2x10_P2.54mm_Vertical,TBD
Jack_5.5x2.1,J_PWR,BarrelJack_Horizontal,TBD
Conn_01x02,J_SND,PinHeader_1x02_P2.54mm_Vertical,TBD
Conn_02x20,J_ULX_A,PinHeader_2x20_P2.54mm_Vertical,TBD
AQY212GH,K1,DIP-4_W7.62mm,TBD
10k,"R1,R6,R_OE",R_0603_1608Metric,C25804
1k,R2,R_0603_1608Metric,C21190
100k,"R3,R4,R5",R_0603_1608Metric,C25803
470,R7,R_0603_1608Metric,C23179
TXS0108EPWR,"U1,U2,U3,U4,U5,U6",TSSOP-20_4.4x6.5mm_P0.65mm,C17206
LM393,U7,SOIC-8_3.9x4.9mm_P1.27mm,C67470
