Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,42.0000mm,44.0500mm,0.0,Top
C10,100nF,C_0603_1608Metric,132.2000mm,47.3500mm,90.0,Top
C11,100nF,C_0603_1608Metric,91.8000mm,40.3500mm,90.0,Top
C12,100nF,C_0603_1608Metric,102.2000mm,40.3500mm,90.0,Top
C13,100nF,C_0603_1608Metric,104.8000mm,40.3500mm,90.0,Top
C14,100nF,C_0603_1608Metric,115.2000mm,40.3500mm,90.0,Top
C15,10uF,C_0805_2012Metric,21.0000mm,43.0500mm,90.0,Top
C16,10uF,C_0805_2012Metric,59.0000mm,16.0500mm,90.0,Top
C2,100nF,C_0603_1608Metric,53.0000mm,35.0500mm,90.0,Top
C3,100nF,C_0603_1608Metric,121.8000mm,29.3500mm,90.0,Top
C4,100nF,C_0603_1608Metric,132.2000mm,29.3500mm,90.0,Top
C5,100nF,C_0603_1608Metric,121.8000mm,20.3500mm,90.0,Top
C6,100nF,C_0603_1608Metric,132.2000mm,20.3500mm,90.0,Top
C7,100nF,C_0603_1608Metric,121.8000mm,38.3500mm,90.0,Top
C8,100nF,C_0603_1608Metric,132.2000mm,38.3500mm,90.0,Top
C9,100nF,C_0603_1608Metric,121.8000mm,47.3500mm,90.0,Top
R1,10k,R_0603_1608Metric,33.0000mm,36.0500mm,90.0,Top
R2,1k,R_0603_1608Metric,36.0000mm,36.0500mm,90.0,Top
R3,100k,R_0603_1608Metric,44.0000mm,35.0500mm,90.0,Top
R4,100k,R_0603_1608Metric,47.0000mm,35.0500mm,90.0,Top
R5,100k,R_0603_1608Metric,50.0000mm,35.0500mm,90.0,Top
R6,10k,R_0603_1608Metric,56.0000mm,35.0500mm,90.0,Top
R7,470,R_0603_1608Metric,21.0000mm,29.0500mm,0.0,Top
R8,1M,R_0603_1608Metric,59.0000mm,35.0500mm,90.0,Top
R_OE,10k,R_0603_1608Metric,65.0000mm,15.0500mm,90.0,Top
U1,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,127.0000mm,28.0500mm,0.0,Top
U2,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,127.0000mm,19.0500mm,0.0,Top
U3,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,127.0000mm,37.0500mm,0.0,Top
U4,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,127.0000mm,46.0500mm,0.0,Top
U5,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,97.0000mm,39.0500mm,0.0,Top
U6,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,110.0000mm,39.0500mm,0.0,Top
U7,LM393,SOIC-8_3.9x4.9mm_P1.27mm,52.0000mm,41.0500mm,0.0,Top
